HomeNo|Channel|StartTime|Activity
14|34|20210222133424|Live
23|64|20210222133422|Playback
82|12|20210222133422|Live
82|41|20210222133418|Playback
2|51|20210222133411|Live
80|25|20210222133409|Live
47|16|20210222133407|Playback
21|88|20210222133359|Live
32|2|20210222133350|Live
30|34|20210222133343|Playback
22|4|20210222133340|Playback
55|7|20210222133333|Live
38|77|20210222133326|Live
15|19|20210222133321|Live
50|48|20210222133316|Live
18|8|20210222133308|Live
99|92|20210222133303|Playback
6|0|20210222133257|Live
89|78|20210222133249|Live
46|90|20210222133246|Live
16|59|20210222133240|Playback
81|90|20210222133232|Playback
64|33|20210222133223|Live
48|79|20210222133217|Live
10|74|20210222133215|Live
15|18|20210222133212|Playback
73|62|20210222133204|Live
67|21|20210222133159|Live
18|4|20210222133151|Live
23|39|20210222133151|Live
35|85|20210222133145|Live
26|12|20210222133140|Playback
11|2|20210222133138|Playback
70|31|20210222133137|Live
39|48|20210222133137|Playback
3|58|20210222133129|Playback
30|16|20210222133124|Playback
80|1|20210222133117|Live
62|70|20210222133110|Playback
96|72|20210222133109|Live
68|91|20210222133100|Live
9|12|20210222133057|Live
47|29|20210222133057|Playback
17|62|20210222133052|Live
73|63|20210222133046|Playback
68|49|20210222133038|Playback
60|39|20210222133038|Playback
50|43|20210222133037|Live
69|53|20210222133032|Live
91|68|20210222133029|Playback
5|99|20210222133026|Live
49|96|20210222133020|Playback
74|89|20210222133015|Live
59|83|20210222133009|Live
18|72|20210222133008|Live
81|72|20210222133005|Live
80|69|20210222132956|Live
49|36|20210222132949|Live
36|92|20210222132942|Live
3|42|20210222132940|Live
67|26|20210222132931|Live
22|62|20210222132923|Live
84|29|20210222132921|Playback
28|36|20210222132916|Live
31|93|20210222132907|Live
33|96|20210222132906|Live
93|15|20210222132902|Live
40|9|20210222132858|Live
78|79|20210222132855|Live
63|39|20210222132854|Live
97|15|20210222132853|Live
47|39|20210222132851|Playback
67|3|20210222132850|Live
74|79|20210222132844|Live
16|84|20210222132837|Live
15|80|20210222132832|Live
28|31|20210222132825|Playback
9|26|20210222132818|Live
2|52|20210222132812|Playback
15|20|20210222132806|Live
64|41|20210222132803|Live
48|6|20210222132754|Live
1|47|20210222132751|Playback
96|40|20210222132747|Playback
97|29|20210222132746|Live
97|2|20210222132741|Live
56|6|20210222132732|Live
15|52|20210222132725|Live
22|49|20210222132716|Live
4|37|20210222132710|Live
55|16|20210222132710|Playback
44|1|20210222132708|Live
28|15|20210222132700|Live
81|89|20210222132652|Live
8|76|20210222132651|Live
15|6|20210222132645|Live
24|74|20210222132639|Live
4|79|20210222132634|Playback
72|80|20210222132629|Live
37|50|20210222132629|Live
59|93|20210222132627|Live
100|32|20210222132620|Playback
1|42|20210222132616|Live
55|40|20210222132608|Playback
60|45|20210222132606|Live
59|5|20210222132559|Live
34|81|20210222132555|Live
13|52|20210222132549|Live
88|73|20210222132546|Live
38|54|20210222132537|Playback
14|24|20210222132531|Live
96|12|20210222132524|Live
68|52|20210222132517|Playback
58|59|20210222132511|Live
29|21|20210222132506|Live
100|71|20210222132457|Playback
12|52|20210222132450|Live
31|89|20210222132446|Live
82|91|20210222132446|Live
85|70|20210222132445|Live
13|60|20210222132440|Live
95|92|20210222132432|Live
75|23|20210222132427|Playback
64|39|20210222132425|Playback
74|7|20210222132423|Live
80|13|20210222132418|Live
34|37|20210222132410|Live
42|67|20210222132407|Playback
58|22|20210222132401|Live
1|37|20210222132356|Live
14|91|20210222132348|Live
95|63|20210222132343|Live
44|73|20210222132335|Live
76|16|20210222132332|Playback
74|68|20210222132330|Playback
8|51|20210222132329|Playback
16|1|20210222132329|Live
8|94|20210222132327|Live
96|58|20210222132321|Playback
65|11|20210222132312|Live
84|50|20210222132304|Playback
48|24|20210222132303|Playback
89|35|20210222132303|Live
6|14|20210222132258|Live
36|33|20210222132252|Playback
24|18|20210222132251|Playback
79|34|20210222132244|Playback
12|45|20210222132244|Live
3|42|20210222132244|Playback
42|41|20210222132240|Live
77|90|20210222132240|Live
28|47|20210222132234|Live
72|30|20210222132228|Playback
94|26|20210222132225|Live
7|9|20210222132222|Live
66|27|20210222132220|Live
21|53|20210222132220|Live
96|76|20210222132211|Live
12|45|20210222132205|Live
26|35|20210222132157|Playback
64|60|20210222132149|Playback
25|82|20210222132142|Live
14|37|20210222132142|Live
34|29|20210222132142|Playback
46|95|20210222132140|Live
38|21|20210222132140|Playback
99|36|20210222132138|Live
77|5|20210222132130|Live
50|92|20210222132125|Live
82|73|20210222132119|Playback
90|24|20210222132111|Live
32|65|20210222132102|Live
45|33|20210222132102|Playback
74|44|20210222132100|Playback
21|52|20210222132056|Live
8|78|20210222132056|Live
24|45|20210222132048|Playback
3|8|20210222132040|Live
56|65|20210222132040|Playback
81|69|20210222132039|Live
35|46|20210222132036|Live
10|20|20210222132030|Playback
68|19|20210222132027|Playback
